,Unnamed: 0,tweet,label
7749,7749,and niccas are hot if they paid bucks for that pay-per-view,0
24550,24550,these niggas out here bitchin tell em suck sumn these bitches see my vision tell em fuck sumn,0
5511,5511,alyssawiens faggot,1
12,12,so hoes that smoke are losers yea go on ig,0
10988,10988,i told that chick tell the truth if you the realest bitch i ever met then show me some proof,0
23116,23116,yea bitch how dat shit feel,0
22303,22303,twitter is like the friend i sometimes forget to visit and then he calls and acts like a bitchy mcbitcherson with a side of bitch,0
518,518,let's do nips ahoy and spank me maybe,0
10667,10667,i like herbal tea bitches no matter if anyone else does,0
15368,15368,rt TAG i peep a lot of shit and i just laugh cause these hoes some actors,0
17645,17645,rt TAG do i have time for these hoes,0
901,901,#porn #android #iphone #ipad #sex #xxx TAG small tits ghetto whore fucking with not her stepdad,0
4496,4496,realfannymagnet with pick up lines like you have i bet you get so much pussy the numbers are in the negative,0
10679,10679,i like to mock apple but i'm legitimately interested to see what their wearable looks like,0
15504,15504,rt TAG playoff hockey sucks dude have a snickers you're retarded when you're hungry,0
11375,11375,i'm seventeen years old with a government job ask me if i give two fucks about the next bitch,0
14684,14684,rt TAG i can't be in my twenties stressing over a bitch who playin games i'm straight lol,0
23004,23004,wtf am i watching bgc i hat watching these ugly ass ghetto hoes put there family name to shame,0
19669,19669,rt TAG martin short on conan oct with your yellow skin and red hair you look like a TAG pencil,0
18520,18520,rt TAG these hoes ain't loyal,0
14737,14737,rt TAG my roommate is having sex and i'm eating oreos it's gonna be a great year kutztown university,0
3621,3621,jawshoeeahhh TAG lmao you're on my timeline it ain't spying hoe lol,0
20602,20602,salute a real nicca,0
9163,9163,for you bitch niggas out there,0
7280,7280,white thunduh my bitch dont want your ugly ass gtfo ol peyton manning lookin ass,1
7368,7368,yooperslayer better off banning teabaggers and their anti american supporters,0
5703,5703,cb marie bitch yessssssss omg i jus saw one of em yesterday i'm in disbelief i rode by like oh that's court bro now i'm lost,0
3852,3852,krbfarms TAG homemade angel food yellow cake with half-inch chocolate frosting devil's food to die for pecan pie,0
4313,4313,oddbeast bitch get yo duck ass off my shit,0
20295,20295,rt TAG suck my duck thot lol looks like ur autocorrect changed dick to duck i meant what i said bitch,0
22782,22782,where this hoe benga at,0
15001,15001,rt TAG ima catfish a bitch with fake arms,0
13390,13390,no need to tweet these bitches know my status,0
16746,16746,rt TAG kevin gates said real niggas eat booty real niggas please they bitches ion get tieddd,0
11177,11177,i'll let u clam on top and let dat nookie pop i'm in dat cookie jar i ain't no rookie girllll,0
18815,18815,rt TAG what females do on twitter brag bout loyalty call other females hoes song lyrics complain bout cramps twee,0
19893,19893,rt TAG TAG he bein a bitch,0
506,506,if you're a bad bitch put your hands up high every girl in the room starts waving there hands around,0
3406,3406,hozay bitch shut up and hand me some of those flowers you selling the light is about to change,0
4417,4417,pinkchocolatebk i thought it was beyond retarded not scary at all,0
16274,16274,rt TAG i need a ride or die bitch,0
713,713,#holidayseasonlive TAG TAG shy glizzy feat plies free tha gang,0
20578,20578,s o to this hoe tonight ol hating ass,0
21342,21342,thanksgiving early hoe,0
11043,11043,i was at my bf grandma house today goin through old albums and his grandpa had naked pics of his side hos from the s,0
2407,2407,alfieheydrich but i live in the south lot more here my pop lives in rhode island hardly no niggers there,1
11438,11438,i've got everybody skurting these hoes,0
8193,8193,broke bitches that talk shit those the ones that i stunt for,0
14850,14850,rt TAG shave pussy deserve nothing but fie head and good dick TAG :),0
23783,23783,drake needs to make up his mind be a rapper or a bitch haha,0
4445,4445,prosperindia ho no without ur vote we lost the election ak is taking oath as pm today :-),0
17535,17535,rt TAG when your main bitch friends see you at a party,0
11800,11800,in my opinion lhha is a spot on description of how some of atlanta is dumb hoes and niggas ratchet broads and stupid arguments,0
17961,17961,rt TAG your pussy must not pop severely yadadpipesmaggs but im single,0
4620,4620,sactownproidgy TAG TAG TAG i just noticed you guys called me a jiggaboo,0
19866,19866,rt TAG dont message me your number and tell me to text you i'm not your bitch lol,0
12442,12442,like the hoes when they lay w me puppy eyes when i go sayin stay wit me,0
23842,23842,fucking hot boots who doesnt love a boot boy lick those soles clean,0
9640,9640,half these females with these twitter names like eat my pussy ain't even about that life bro,0
8613,8613,damn i think your redskins lost TAG,0
22984,22984,world war z is on netflix yasssss bitch yasssss,0
14330,14330,rt TAG hoes be on some august alsina is bae no bitch that dusty nigga you got kids with who drives yo car amp still wears rocawe,0
18174,18174,rt TAG TAG stop crying you pussy,0
5972,5972,fitsnews nevermind still a little bitch,0
3625,3625,jawshoeeahhh lmao you're a bitch boy,0
710,710,#freeballoutpartypart bitch it's going mo weeks,0
4704,4704,sierrabell just called me a basic bitch and i'm not sure how i feel about it,0
14785,14785,rt TAG when you eat the pussy so good she can't control her moans,0
5391,5391,bradleey same like bitch it's the struggles to use the stairs let ppl get on,0
22114,22114,this nigga solving rubik cubes doing magic tricks amp he still ain't getting no pussy,0
12542,12542,lmaoooooooo TAG dumped the shyt outta me fuck wrong with her i'm perfect like angel pussy,0
18328,18328,rt TAG i think if i had hoes i would tell them alll the same shit im too lazy to be tryna switch shit up,0
21126,21126,spell my name right bitch then we'll talk,0
11495,11495,if i ever ate your pussy before and you fucked over niggas before that let me know right now because you owe me you dirty bitch,0
22512,22512,we can't trust these hoes fam,0
4088,4088,michhelleashley who is this we i dont love hoes,0
9658,9658,happy birthday TAG i love you faggot,0
3894,3894,lemochamojito bitch bye,0
22883,22883,why he try say alexi stole jo bitch lmao,0
17859,17859,rt TAG only pussy niggas wouldn't fuck with a chick if she has stretch marks,1
14644,14644,rt TAG suicide girl hopeful how about getting a job hopeful or going to school hopeful you silly bitches,0
15706,15706,rt TAG the fox says you're a cunt,1
4619,4619,sactownprodigy lol just like rgiii and go out like a weak bitch and return the next year and win games,0
19076,19076,rt TAG peso peso peso wtf this bitch broke her arm eery time she hit the shit,0
19292,19292,rt TAG cant just tell me anything bitch im one click away from google at all times,0
1384,1384,lickmywhooooop TAG TAG it aint bundles soooo nope it is bitch she happy hosting,0
237,237,slimgirl probz i'm hungry but ionn wanna spend my money on food broke hoe problems,0
11332,11332,i'm not bouta let no bitch play with none of my family it don't matter if i fuck with them or not,0
1064,1064,rt TAG it amazes me how niggas can fuck w every bitch but when a nigga try to talk to his bitch he wanna cry about it i need answers,0
19398,19398,rt TAG i'm snatching all your bitches at my leisuuuure,0
5666,5666,britty jurgens a music suggestion is lil spook,0
876,876,#porn #android #iphone #ipad #sex #xxx TAG blonde tranny whore gets rammed and facialized,0
5932,5932,eonline TAG TAG mr and mrs trash,0
854,854,#oomf can get it but i'm chilling till da bitch hit me up,0
24239,24239,my nigguh wtf,0
22792,22792,which one corey or cory or both illmatic kid he's half retarded,0
20320,20320,rt TAG ratchet hoes wear flip flops that curl up and turned black like souls of slaves walked in them,0
8990,8990,every spic cop in TAG is loyal to the TAG,1
16901,16901,rt TAG lmfao wtf makemespazz thekingsimp niggas on here really retarded i'm tf out,0
9586,9586,gudnight keep that pussy tight,0
11949,11949,it's hot and my allergies are killing i feel like a little bitch,0
15031,15031,rt TAG same bitch talking abt you will be the only bitch in your face but,0
6437,6437,kieffer jason bitch go get a life before i block your lame ass,0
3192,3192,frankiejgrande omg gtfo white faggot,1
5112,5112,watch mark TAG normally i would say she must have a great pussy but since i've seen it that's not true so idk what it is,0
16489,16489,rt TAG dont be a faggot cover your mouth when you fkn cough or sneeze i got a immune system to keep strong asshole,1
12364,12364,let them hoes be greatrt TAG y'all bitches be really reaching for the side-titty look,0
2421,2421,ampowerblog haha says the little bitch who let someone take his phone a real man wouldn't have let that happen a little bitch would,0
9670,9670,happy first day of college nigger TAG,1
22065,22065,this is marco's lotion and he got mad that i told him that he smells like a bitch,0
17426,17426,rt TAG element number is bromine and it comes before number ho holmium therefore its bros before hoes,0
17906,17906,rt TAG the big bitch in the back of a group of girls is known as the caboose TAG,0
14831,14831,rt TAG some bitches think a trucker hat automatically makes them a model,0
17452,17452,rt TAG trevaughnlg moma said no pussy cats inside my dog house that's what got bro nem locked inside the dog pound,0
3453,3453,iideaiid TAG so many bitches you gon need to change ya name from jebidiah to bitches,0
826,826,#bad TAG TAG TAG,0
14284,14284,rt TAG TAG no bitch better try to fuck with my girl cause i will go off,0
11152,11152,i'd kill to meet charlie sheen,0
15902,15902,rt TAG i walks in country kitchen restaurant to order take out this bitch come ask me table for one i look that lonely,0
6775,6775,nkyathappala i'm gonna drink monster til i sue we gettin the bitch TAG,0
16860,16860,rt TAG TAG fuck the skinny bitches in the club TAG TAG,0
23302,23302,you ever see bitches comment on a vine like oh my god that's me knowin damn well she would neva do some shit like that lmfaaoo,0
17911,17911,rt TAG ow amp while i'm at it where has TAG gone the big lanky twat,0
6932,6932,rikki lovee you're wearing my sweatshirt in your snapchat story hoe love you tho lol,0
13026,13026,my dog just lifted her leg to pee she's such a butch bitch,0
6004,6004,garrett winker shit what's up with then hoes i'll do both hoe am pretty sure u not on my level,0
24006,24006,i seen a nigga dressed to impress hop out da bus n a bitch wit a phatty get off at his stop too say somethin god throwin u da lob,0
1053,1053,TAG these hoes selfish,0
12274,12274,lmao did u really just call me a hoe lol camerondurant TAG TAG yeah you hoe,0
14186,14186,rt TAG the thing about houston and austin gays is are hoes ain't no wholesome bitches,0
19487,19487,rt TAG i'm such a bitch i'm hard to handle i'm stubborn and i have an attitude sorry to the people who put up with it,0
24567,24567,this bitch just said id suck your dick if it was legal to my cat,0
4024,4024,marcfoor bitch you can get to,0
3256,3256,giftedhussle TAG TAG babe it's the thought that counts bitch you a thot,0
22470,22470,wallah does this dumb bitch dream about the fucking lottery to wake up this early and play fuck you hoe,0
18996,18996,rt TAG i swear we in this forever now bitch,0
21701,21701,there's not enough day in the hours to cheat on her if she's sucking your dick right too drained to look for other mouth and pussy,0
7731,7731,and get my self a bad bitch thats loyal and one hunnid,0
21790,21790,these hoes don't like a nigga they love my money these niggas don't like a nigga they all want some'n,0
12370,12370,let's be serious most fans callers wanted to run heavily and dink and dunk doesn't work great against a d you can't get extra yrds against,0
14666,14666,rt TAG i rather see wifey happy then see a hoe naked common sense niggas treat hoes better then the one that loves them and been the,0
1878,1878,purrdylaylayxxx TAG yo mama was confused when she had u lol these hoes ain't got no manners,0
22934,22934,winter time walking is no hoe ctfu,0
6059,6059,hannah clare i'm on my way to the gym already but thx bitch,0
10628,10628,i know how it feels to not have shit believe me i was born in the heart of la it don't get anymore ghetto than that,0
10927,10927,i swear that hoe b trying it,0
19034,19034,rt TAG TAG not surprised stupid bitch jane fonda TAG troops vietnam,0
819,819,#yankees take all three games in motown i'm callin it TAG,0
17438,17438,rt TAG can't trust a bitch who lets the microwave hit she doesn't care about her life she probably jumps on the lava part of,0
2064,2064,if i ever put my trust ina bitch i'll always be hurt,0
4819,4819,thedingojohnson TAG no ur the blind bitch dude in the video is way skinnier,0
6697,6697,mis sarahd TAG never said i wanted to fuck a tranny,0
7544,7544,aint no hoe worth loosing your wife aint no beef worth loosing your life,0
123,123,frosstyy TAG i didn't say anything tho kiss me then faggot,0
10742,10742,i made ya bitch sicc wit that one,0
18317,18317,rt TAG i tell a bitch go and get my name tatted on her spine so i can feel good when i'm hittin it from behind,0
15298,15298,rt TAG i hope a bird shits on your face bitch,0
20302,20302,rt TAG everyone always says girls are really bitchy no some boys are fucking inconsiderate bitchy cunts it is actually disgu,0
11448,11448,i for one welcome our new eastern panhandle overlords and hope they do a better job than the yokels who got us here in the first place,0
24574,24574,this fat bitch was preaching like we have too many fat and lazy people have you seen a mirror wtf,0
23853,23853,give her dope dick now she a fuckin addict hoe u a fool if u thought a nigga neva had it yo,0
3299,3299,grandehead i got that hoe bootlegged haha if you wanna borrow it,0
7565,7565,all i need is one i don't want the hoes,0
5249,5249,zrexxx TAG we take your bitch then recieve head from your mom,0
14177,14177,rt TAG i need to hit the lottery yo this work shit for the fucking birds,0
5906,5906,edouglas quick game for sox yanks hope you get home soon,0
8742,8742,dis bitch by my side and i'll never be broken,0
14221,14221,rt TAG your mcm is a lil bitch,0
4409,4409,pete or i prefer zebra visually didn't know about lesser costs,0
20282,20282,rt TAG side hoe let s make us official me,0
15074,15074,rt TAG polly want a cracker TAG,0
5535,5535,arionnee cuz you know i was playing witchu i aint call yo mama a bitch or say yo brother ugly af did i,0
20994,20994,so yall hoes still surfboard'n in the tub or nah,0
1960,1960,yungtfti i feel sorry for anyone who paid for lic because edc is trash music,0
24687,24687,who's downie like a brownie brunch need mimosas,0
17343,17343,rt TAG these hoes ain't loyal,0
21405,21405,that makes you an annoying bitch if you're out looking to be offended you can't bitch when you're offended,0
16234,16234,rt TAG is everyone on the redskins lathered in oil what the fuck,0
11720,11720,im addicted to bad bitches like i never had bitches,0
22062,22062,this how most of yall side hoes gone look on valentines day lol,0
4330,4330,officialccane naah da twitter bird,0
2917,2917,cuauhtli i couldn't find the regular one faggot,0
18822,18822,rt TAG pop a molly why don't you hoes start poppin some birth control,0
2995,2995,dedicated idk i gotta think about it cause them bitches small as shit,0
4054,4054,maxon maxoff your a dirty cunt mate lol TAG,0
2092,2092,on twitter say she ridin for a niggah that's why i really fuck with her she down to pull the trigger,0
16894,16894,rt TAG going as candace for halloween lmao ugly bitch,0
24618,24618,type a bitch make u take her on dates then she give u da pussya and the shit weak damn,0
18878,18878,rt TAG lmao a hoe's favorite season is cuffing season u aint know TAG summer hoes turning into winter wifeys,0
5103,5103,viri bracefacee no problem my niggah,0
21780,21780,these hoes be actin up and these niccas be actin tough,0
24726,24726,y'all hoes avoid schemes,0
15878,15878,rt TAG stblocjeremiah broke hoes always wanna argue u ain't ate all day were u get that energy from rt,0
20229,20229,rt TAG TAG what you still doing up my nig,0
14659,14659,rt TAG niggas be like i get times the pussy you get jokes on you fam times is zero,0
22739,22739,when the teachers aid trys acting like she's the teacher bitch please,0
22315,22315,two hoes xoxo imaunicorn y'all know what we are,0
12549,12549,lmfao bitch got her shit rocked,0
14259,14259,rt TAG whatchu sayin hoe you know im the man hoe,0
14461,14461,rt TAG she still a bitch TAG lol so what do you tweet if you lose,0
21647,21647,them hoes don't like me,0
23186,23186,yo bitch she boof she got that throwbac pussy,0
22950,22950,with yo twatching ass bitch,0
11026,11026,i want me a coon ass girl lol,0
22576,22576,went ya bitch house now she not a virgin anymore,0
8364,8364,can't tell me shit cuz ion care bitch,0
14721,14721,rt TAG what does the fox say bitch,0
8856,8856,drinking coronas these bitches are quite tasty,0
292,292,tommycollins TAG TAG yeah texans are so much better you fucking retard i see that you're mad about this,0
10470,10470,i hate that hoe she ain't bout shit,0
13264,13264,niccas be gassing hoes they never gone pop smh prolly never gone meet her TAG,0
19138,19138,rt TAG my next bitch gotta take me out just because,0
20452,20452,rt what got me into baseball well only a couple more days till all these legends will be retired TAG TAG,0
12205,12205,karmas a bitch,0
19815,19815,rt TAG brennonthekidd what would u do that bitch down the stairs,0
13012,13012,my dad goes son of a bitch and just lights a cigarette in the kitchen oh,0
8480,8480,cigarette break nd wtf are mt eyes glowing like charlie murphy in the madd real world lol,0
17604,17604,rt TAG light skin bitches cheat on their man dark skin bitches squirt bike chain oil latinas will cut your dick off amp white gir,0
22548,22548,weekend is here what an amazing week this has been let's use this extended weekend to celebrate our successes my fellow queer folk,0
23274,23274,you can only say the word negro if it's attached to the word league then we're totally cool guys,0
1457,1457,ohhnickharmon if she's sending you nudes on snap chats but your not one of the guys on her favorites she a hoe,0
12345,12345,lesbians all be like yo-ho and scissor me timbers,0
7174,7174,thisisricklol sexy bitch,0
21148,21148,step up and take your oppurtunity TAG TAG TAG,0
5848,5848,dexfrost you can be a bad bitch too dex its okay,0
19168,19168,rt TAG get a girl with good hair u don't want a bitch that got nappy ass hair yo kids gone end up having bb's nigga,0
14529,14529,rt TAG kill this beaner,1
1071,1071,anddone fuck east st john and all they fans familys amp friends shut yo bitch ass up,0
12571,12571,lol TAG mikediggem the baddest bitches be porn stars n strippers,0
13135,13135,my pussy tastes like pepsi cola,0
7014,7014,sguzinski well i don't use it anymore and i'd like a dslr i'm just a broke bitch so yeah,0
7323,7323,xdsmooth bitch give me my lighter or get shot,0
2526,2526,blue yupp finger my throbbing pussy slowly as i cum on ur face,0
19554,19554,rt TAG too bad i'm a bitch,0
1753,1753,dreadheadkidd pussy prolly taste like heaven,0
7706,7706,amennn womenlovebrickz if your girlfriend doesn't like that bitch you don't talk to that bitch,0
17566,17566,rt TAG females nowadays don't like to do anything freaky because you niggas gossip about it like bitches,0
18660,18660,rt TAG sinclair hoes don't care how fat they are they all still wear yoga pants and belly shirts,0
19184,19184,rt TAG dseanassafool bruh i never seen so many ugly bitches in one picture before smh is that luda,0
8454,8454,cheese bitch chupacabra looking fuxk,0
23438,23438,you wanna hot body you wanna bugatti you wanna maserati you better rob a bank bitch,0
1869,1869,nypost if you used the obamacare website you should definitely change your password hahahahahah that's sad TAG,0
7820,7820,as always eli has the stupid hick hayseed look on his face giants fans kill yaselves it's gonna be a,1
15462,15462,rt TAG ugly people taken nerds taken hoes taken everybody taken me,0
24008,24008,i think i need to watch dawn of the planet of the apes now,0
19941,19941,rt TAG my bitch makes your bitch look like precious TAG TAG TAG,0
3548,3548,jayreidofficial my nicca,0
6334,6334,kampeas well i know you like it when children are murdered kind of weird you would be such a little bitch about a twitter list,0
3335,3335,homelessbitch can i bitch about not having smoke,0
